Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,car_age,km_per_year
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,12,2250.0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,13,3307.6923076923076
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,9,766.6666666666666
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,15,346.6666666666667
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,12,3537.5
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,8,258.875
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,11,1708.7272727272727
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,11,3039.0
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,10,2027.3
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,11,3851.5454545454545
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,9,237.22222222222223
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,11,4636.363636363636
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,11,1363.6363636363637
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,11,2363.6363636363635
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,17,4554.529411764706
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,10,4300.0
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,11,3788.909090909091
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,11,3227.2727272727275
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,16,2590.125
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,10,2500.0
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,9,266.6666666666667
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,15,3333.3333333333335
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,12,3773.3333333333335
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,13,4375.307692307692
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,15,1333.3333333333333
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,13,4241.384615384615
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,9,1800.0
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,16,2783.875
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,11,4090.909090909091
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,14,3674.214285714286
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,15,3613.3333333333335
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,12,3250.0
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,12,3750.0
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,12,3750.0
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,15,3333.2
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,11,4433.363636363636
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,23,5521.739130434783
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,10,1007.9
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,23,2695.6521739130435
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,10,2452.4
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,12,3892.1666666666665
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,18,3222.222222222222
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,12,3815.0
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,14,3571.4285714285716
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,12,1250.0
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,13,4964.0
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,20,3250.0
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,11,2351.818181818182
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,9,4111.111111111111
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,21,4285.714285714285
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,17,4117.64705882353
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,11,3684.909090909091
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,16,3125.0
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,12,3290.4166666666665
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,13,3077.0
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,11,3689.818181818182
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,12,3750.0
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,16,3687.5
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,15,5866.666666666667
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,12,5916.666666666667
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,15,3000.0
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,13,4307.7692307692305
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,15,2866.6666666666665
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,12,6916.666666666667
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,11,3272.7272727272725
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,13,5538.461538461538
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,22,6143.363636363636
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,16,5000.0
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,11,3636.3636363636365
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,11,3454.5454545454545
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,21,9389.333333333334
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,20,7100.0
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,14,4000.0
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,13,3615.3846153846152
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,12,3333.3333333333335
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,17,3647.0588235294117
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,12,4853.5
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,21,3571.4285714285716
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,18,4944.444444444444
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,14,5142.857142857143
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,13,3461.5384615384614
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,16,3126.5
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,10,300.0
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,9,155.55555555555554
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,9,444.44444444444446
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,9,133.33333333333334
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,9,455.55555555555554
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,11,1972.7272727272727
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,12,1375.0
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,13,1153.8461538461538
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,10,1800.0
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,9,1222.2222222222222
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,10,600.0
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,10,870.0
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,12,583.3333333333334
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,10,3500.0
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,11,1545.4545454545455
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,11,1590.909090909091
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,13,2538.4615384615386
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,11,1272.7272727272727
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,11,2363.6363636363635
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,13,415.38461538461536
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,10,570.0
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,15,460.0
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,10,600.0
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,13,3576.923076923077
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,14,821.4285714285714
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,17,2352.9411764705883
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,9,144.44444444444446
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,10,700.0
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,9,333.3333333333333
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,9,555.5555555555555
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,9,1222.2222222222222
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,11,1636.3636363636363
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,9,388.8888888888889
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,10,50.0
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,9,1311.111111111111
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,11,454.54545454545456
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,12,1958.3333333333333
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,13,1230.7692307692307
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,10,1500.0
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,11,1509.090909090909
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,13,2461.5384615384614
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,10,2000.0
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,11,2636.3636363636365
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,10,2500.0
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,12,2083.3333333333335
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,14,1357.142857142857
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,12,1250.0
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,11,5272.727272727273
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,16,2812.5
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,10,2400.0
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,15,400.0
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,10,3100.0
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,14,928.5714285714286
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,13,3461.5384615384614
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,12,666.6666666666666
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,9,477.77777777777777
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,9,1666.6666666666667
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,11,2090.909090909091
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,9,955.5555555555555
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,9,444.44444444444446
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,15,1600.0
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,12,1916.6666666666667
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,14,1035.7142857142858
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,16,1687.5
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,10,1400.0
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,10,50.0
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,10,100.0
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,12,3500.0
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,13,923.0769230769231
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,11,1272.7272727272727
Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,14,392.85714285714283
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,11,609.0909090909091
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,12,1141.6666666666667
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,9,144.44444444444446
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,11,3509.090909090909
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,15,5000.0
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,15,2000.0
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,10,2400.0
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,12,1583.3333333333333
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,16,13312.5
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,14,4285.714285714285
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,10,5000.0
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,13,2307.6923076923076
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,13,1615.3846153846155
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,18,1444.4444444444443
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,18,105.55555555555556
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,16,1375.0
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,13,2461.5384615384614
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,13,1384.6153846153845
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,21,2619.0476190476193
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,18,3333.3333333333335
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,14,1785.7142857142858
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,19,2578.9473684210525
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,13,1846.1538461538462
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,18,2777.777777777778
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,11,3181.818181818182
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,18,27777.777777777777
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,16,2062.5
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1,15,2333.3333333333335
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,19,2789.4736842105262
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,20,4611.65
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,16,3625.0
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,11,2563.6363636363635
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,15,3564.0
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,11,2571.090909090909
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,10,349.3
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,9,1386.5555555555557
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,11,3163.3636363636365
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,9,381.6666666666667
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,11,1920.4545454545455
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,14,2555.3571428571427
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,11,3957.7272727272725
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,10,2267.1
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0,15,2106.9333333333334
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,9,2234.8888888888887
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,14,2578.5714285714284
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,10,1250.0
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0,10,1500.0
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0,12,3756.5
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0,14,2571.4285714285716
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0,9,4276.444444444444
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0,13,2461.5384615384614
i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,0,12,6469.333333333333
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0,11,5580.090909090909
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,13,2784.4615384615386
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0,15,1501.1333333333334
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,11,2243.4545454545455
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,15,3800.0
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0,14,4285.714285714285
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0,14,3723.714285714286
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0,13,3461.5384615384614
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0,9,1666.7777777777778
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0,11,1172.7272727272727
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0,13,4076.923076923077
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0,11,408.3636363636364
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0,9,1682.3333333333333
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0,10,1184.9
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0,11,6181.818181818182
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0,13,4633.923076923077
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,14,1693.5
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0,14,2308.714285714286
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1,11,3260.5454545454545
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0,12,2833.3333333333335
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0,10,700.0
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0,13,3769.230769230769
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0,14,5071.428571428572
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,14,2500.0
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0,11,3272.7272727272725
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0,13,2307.6923076923076
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,10,1700.0
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,10,3593.4
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,0,13,4361.615384615385
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0,11,2857.0
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0,12,4000.0
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0,13,4172.461538461538
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0,14,3833.9285714285716
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,10,4956.2
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0,11,3665.818181818182
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0,11,2272.7272727272725
amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0,12,3004.5
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0,10,2922.3
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0,10,560.0
amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,0,11,3638.4545454545455
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0,10,1600.2
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0,11,3638.7272727272725
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0,9,2355.5555555555557
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0,12,2916.6666666666665
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0,10,1943.4
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0,9,2111.1111111111113
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,0,11,1711.6363636363637
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0,15,4622.733333333334
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,17,4091.8823529411766
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0,11,2509.090909090909
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0,16,3825.1875
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0,12,1375.0
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0,10,3075.3
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0,11,2254.5454545454545
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0,11,1980.0
jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,0,10,400.0
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0,12,3343.8333333333335
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0,11,1315.0
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0,20,2522.8
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,12,5250.0
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0,10,901.0
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0,13,753.8461538461538
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0,10,1505.9
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0,10,2856.9
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0,11,4000.0
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0,11,3090.909090909091
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0,10,1098.0
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0,12,1583.3333333333333
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0,11,2857.0
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0,10,1200.0
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0,16,2375.0
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0,12,2751.5833333333335
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0,11,5461.454545454545
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0,10,3398.8
brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,0,11,5454.545454545455
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0,17,5172.588235294118
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0,9,1000.0
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0,10,546.4
